throughput,packet_loss,jitter
105.0,36.0,0.038
104.0,0.17,0.011
105.0,1.3,0.013
103.0,0.98,0.026
104.0,1.1,0.044
103.0,2.6,0.005
103.0,1.2,0.044
49.5,0.0,0.11
39.06666666666667,23.833333333333332,0.09383333333333334
39.06666666666667,23.833333333333332,0.09383333333333334
28.633333333333336,47.666666666666664,0.07766666666666668
103.0,1.1,0.04
104.0,1.5,0.018
104.0,0.54,0.022
103.0,1.9,0.005
104.0,0.58,0.006
102.0,2.4,0.075
103.0,1.9,0.006
100.0,3.5,0.112
104.0,1.9,0.008
103.0,2.2,0.005
104.0,0.75,0.005
102.0,1.8,0.033
104.0,1.6,0.01
102.0,1.2,0.089
103.0,2.4,0.007
102.0,2.9,0.016
102.0,1.4,0.078
104.0,2.4,0.006
102.0,2.1,0.016
103.0,2.0,0.006
101.0,1.9,0.537
105.0,1.3,0.006
102.0,1.7,0.043
103.0,1.9,0.009
104.0,1.6,0.005
101.0,3.2,0.005
102.0,2.6,0.036
104.0,1.6,0.01
103.0,2.3,0.015
102.0,2.1,0.043
104.0,2.0,0.008
103.0,1.7,0.009
103.0,2.0,0.005
104.0,1.2,0.006
102.0,2.2,0.006
102.0,2.8,0.014
104.0,1.1,0.006
102.0,2.5,0.033
102.0,2.5,0.015
102.0,2.4,0.101
102.0,1.7,0.022
104.0,1.5,0.006
103.0,2.1,0.014
104.0,1.3,0.007
103.0,1.7,0.005
102.0,2.0,0.013
103.0,2.0,0.005
103.0,2.0,0.007
102.0,2.4,0.025
104.0,1.8,0.006
102.0,2.2,0.012
54.525,2.125,0.025500000000000002
7.05,2.05,0.039
57.7,81.0,0.009
102.0,1.7,0.032
51.0,0.85,0.016
51.0,0.85,0.016
0.0,0.0,0.0
44.5,86.0,0.012
103.0,2.5,0.006
103.0,1.1,0.014
103.0,1.9,0.005
103.0,2.0,0.057
103.0,1.6,0.025
104.0,0.98,0.005
103.0,1.8,0.049
102.0,2.4,0.007
102.0,2.8,0.028
103.0,1.9,0.009
103.0,1.7,0.006
103.0,1.6,0.006
103.0,1.6,0.007
103.0,1.9,0.008
103.0,1.8,0.053
104.0,0.82,0.012
103.0,1.9,0.008
103.0,1.7,0.528
103.0,1.9,0.005
104.0,1.1,0.556
103.0,1.5,0.071
102.0,1.8,0.023
104.0,1.9,0.007
105.0,0.28,0.498
105.0,0.0,0.389
105.0,0.011,0.224
105.0,0.045,0.435
103.0,1.6,0.014
103.0,1.7,0.242
103.0,1.4,0.005
103.0,1.6,0.007
103.0,0.77,0.19
104.0,1.6,0.141
104.0,1.1,0.17
102.0,2.3,0.03
103.0,1.7,0.019
102.0,2.2,0.009
104.0,1.4,0.006
103.0,2.0,0.394
103.0,1.9,0.434
104.0,1.4,0.099
101.0,3.2,0.225
103.0,1.7,0.092
103.0,0.96,0.011
103.0,1.3,0.009
104.0,1.1,0.474
102.0,2.6,0.008
104.0,1.3,0.036
103.0,1.7,0.021
103.0,2.0,0.023
102.0,1.9,0.061
103.0,1.7,0.493
103.0,1.9,0.068
103.0,2.0,0.198
104.0,1.2,0.131
103.0,1.3,0.218
104.0,0.88,0.02
103.0,0.98,0.357
104.0,1.4,0.184
104.0,1.1,0.018
102.0,2.2,0.281
103.0,1.6,0.688
104.0,1.2,0.01
103.0,1.1,0.134
104.0,1.1,0.072
103.0,1.4,0.128
104.0,0.92,0.161
104.0,0.87,0.061
105.0,0.21,0.022
104.0,0.0,0.099
104.0,0.84,0.082
102.0,1.9,0.838
103.0,1.6,0.444
103.0,1.4,0.571
103.0,1.6,0.683
